building_type,area_sqm,floors,location,quality_grade,foundation_type,roof_type,has_basement,has_elevator,has_parking,labor_rate,material_cost_index,total_cost
Residential,8319.176659213217,25,Rural,Premium,Concrete,Flat,1,1,1,26.96235733598495,1.056726453498158,20416065.6129943
Industrial,4032.116943222703,9,Suburban,Standard,Slab,Dome,0,0,0,41.267000187547474,0.9659492738219246,3796095.0810683747
Commercial,6714.042852049397,2,Urban,Standard,Pile,Dome,1,1,1,44.71233385736899,1.1130910777099854,6796625.831186278
Commercial,2129.3445246166275,15,Suburban,Standard,Pile,Dome,1,0,0,45.71087084991734,0.8506634752358858,3095607.8808692656
Residential,3002.1625295840313,3,Rural,Premium,Pile,Flat,1,0,0,32.45321530564798,1.4678921490997507,3692474.336888733
Commercial,8973.724603359085,49,Rural,Luxury,Concrete,Pitched,1,1,0,22.680197068756005,0.9562787807485527,52169119.92946456
Commercial,228.71904275628674,36,Urban,Standard,Slab,Dome,1,0,1,33.133444318988595,1.4456154428385095,1191271.308865551
Industrial,946.534455459234,4,Urban,Luxury,Concrete,Dome,1,1,1,26.92203770621161,1.0981252085256772,1957460.27420567
Industrial,2158.0739259456705,14,Urban,Standard,Pile,Dome,0,0,0,28.735893649898724,1.4898668932786525,4883374.530974065
Industrial,362.6688183508152,41,Suburban,Standard,Pile,Pitched,1,0,1,43.16802670512517,1.1878408684221475,1364240.4652175717
Industrial,1896.2108073889933,41,Suburban,Premium,Slab,Dome,1,1,1,22.265812580776604,1.4515830049230654,11398458.274907073
Residential,5872.111453599952,25,Suburban,Standard,Concrete,Pitched,0,0,1,44.82743652442106,0.803744292085956,7884868.898444991
Industrial,4272.1030508657295,10,Urban,Standard,Pile,Dome,1,0,1,32.83007257472507,1.3237671643266302,7675743.145500971
Commercial,8937.44993966205,21,Rural,Premium,Slab,Pitched,0,0,1,37.88191793301785,1.4321354571717608,31547201.191709705
Residential,8192.691261210566,36,Rural,Luxury,Concrete,Dome,1,1,1,22.68956693707037,0.8978043968852679,30683597.089415394
Commercial,3483.991781808972,12,Suburban,Standard,Concrete,Flat,0,1,1,30.12077235071839,0.867288096212506,5466657.476599361
Commercial,2668.2919909697957,27,Suburban,Premium,Pile,Flat,0,0,0,22.691027570445375,1.097200825030169,11165756.09254534
Commercial,3858.954840855942,40,Rural,Standard,Pile,Flat,1,0,0,48.84631168643328,1.4535752342930546,16225907.433066161
Industrial,5943.919930896596,2,Rural,Premium,Concrete,Flat,1,0,1,44.21784947978752,1.179670592133307,5789117.264198208
Industrial,2753.830044146475,13,Suburban,Luxury,Concrete,Dome,1,1,0,33.78898263069381,1.1692195246052126,7946817.451206018
Residential,6279.0741877064265,32,Suburban,Luxury,Pile,Flat,1,1,0,26.708076449710134,0.8987882828095254,24280672.27303319
Residential,4153.17535669328,31,Rural,Premium,Concrete,Pitched,0,0,0,48.00365315749556,0.8005526577652532,7598107.774543893
Industrial,5565.267090434604,16,Urban,Premium,Pile,Flat,0,1,1,30.337897871809155,1.3670980635218228,21381609.68363501
Commercial,4417.652638439635,32,Suburban,Premium,Concrete,Flat,0,1,1,24.829532950621243,0.8613021940903668,13666529.467146682
Residential,3015.211019464985,32,Rural,Luxury,Pile,Flat,1,1,1,36.89493165361864,1.2436948731147268,14723036.331267068
Industrial,9489.687738925351,34,Rural,Standard,Slab,Dome,0,1,1,48.31322361034448,1.440231518160634,27472947.052650392
Industrial,7659.697362181632,11,Rural,Luxury,Pile,Flat,1,0,1,20.114908715009676,0.9460563392109017,15394134.208633013
Industrial,1487.1204400878803,10,Rural,Premium,Pile,Pitched,1,1,0,27.14374529761996,1.2656909853658376,2492523.8540140106
Commercial,8697.832961389337,15,Urban,Premium,Slab,Flat,0,1,1,48.15342921231223,0.8550890036952566,20795131.43051057
Industrial,4925.568862670185,17,Rural,Luxury,Concrete,Flat,1,0,0,25.13257900571486,1.2226286006863292,14413057.640050227
Industrial,8956.067046251505,40,Suburban,Premium,Slab,Flat,0,0,1,23.397303549194596,0.9147522046672419,32985828.6599306
Industrial,8018.56703387842,18,Urban,Luxury,Pile,Pitched,1,1,0,37.10561647399413,1.3151674923606245,45552821.487830006
Industrial,4309.613694245411,9,Rural,Premium,Concrete,Flat,0,1,1,45.85531469884489,1.0108619063557358,6196698.373955978
Residential,322.44615236916223,25,Urban,Standard,Slab,Pitched,1,0,1,34.313294530817785,1.1243737061632524,970748.8558813737
Residential,2759.905857910966,40,Suburban,Standard,Concrete,Pitched,0,0,1,49.83692770053574,1.2196013794193352,8157967.851951172
Industrial,5462.178725142582,14,Rural,Premium,Concrete,Flat,0,0,1,40.375150986139786,0.9198913874663678,5400567.372124274
Commercial,6371.434376278858,25,Suburban,Luxury,Slab,Pitched,1,1,1,22.222247216313434,1.3191464730323346,40458807.96655772
Residential,2653.0880857887028,22,Rural,Standard,Concrete,Dome,1,1,1,49.78496395045926,1.0118482384457703,3877995.2982426425
Industrial,1479.6251333209589,30,Rural,Luxury,Slab,Flat,0,0,0,32.236827103405716,1.2636603019389274,7051765.449683406
Residential,8365.809344313062,20,Rural,Premium,Pile,Flat,1,1,1,28.622076015364478,0.9107981354895616,15589007.530498069
Residential,9845.581588965166,21,Rural,Luxury,Concrete,Pitched,1,0,0,36.73637550733657,1.2816823614444453,31228887.146598715
Commercial,5304.33280479659,44,Rural,Standard,Pile,Pitched,1,1,1,29.12922775462593,0.8897316509673232,17124776.70139366
Industrial,1799.6249298982045,32,Urban,Luxury,Pile,Flat,0,0,0,22.59372521360457,1.0977495473889887,9820192.942318877
Industrial,2795.8425325417525,46,Rural,Luxury,Concrete,Dome,0,0,0,20.042850292375302,0.9730442516172138,13038314.9587019
Commercial,282.0676978199207,49,Rural,Premium,Slab,Pitched,1,1,0,33.48750058760787,1.3238626745997277,1657824.9588704747
Commercial,9151.55818494894,21,Urban,Premium,Concrete,Pitched,1,1,0,45.10590266679777,0.9834245031548122,35371992.682990834
Industrial,1265.7357206123972,35,Urban,Premium,Pile,Dome,0,1,0,37.16945556890229,1.4172021144767775,9539067.896306792
Industrial,5807.51310759111,32,Urban,Standard,Pile,Dome,1,1,0,49.97621896830323,1.424274147984629,24447793.55363658
Commercial,2813.146684803339,30,Urban,Standard,Slab,Flat,0,1,1,28.605399369416,0.9375089206559502,8528363.015319532
Residential,5586.362224906355,39,Urban,Premium,Concrete,Dome,1,1,0,28.41365194280166,1.229692161505407,27206954.963423565
Residential,6549.061844683456,49,Urban,Premium,Pile,Flat,1,0,1,24.79248380701833,0.8614023492039751,31161824.22366256
Commercial,8314.443856701297,12,Rural,Standard,Pile,Dome,1,1,1,24.921907647960055,1.0740759697211404,12566512.366720676
Residential,2143.570590429972,41,Rural,Standard,Pile,Pitched,0,0,0,28.555597880301434,1.2993252106508906,5539619.28494648
Commercial,208.85870371895675,47,Suburban,Standard,Slab,Flat,0,0,0,43.78520135820581,1.2615962727949415,945226.0370754494
Residential,1455.167737681192,18,Rural,Standard,Pile,Flat,0,1,1,47.172703719093434,1.2372904685846255,2352808.885375108
Residential,9010.18455429624,21,Rural,Premium,Pile,Flat,0,0,0,49.25261509123044,0.9977786045637105,16197382.05679098
Industrial,8751.5117678689,13,Urban,Standard,Concrete,Dome,1,0,0,26.968689622893578,1.0646174646040814,16769135.35539439
Industrial,6014.389711486052,21,Urban,Premium,Concrete,Pitched,1,1,0,46.43892636842275,0.8720623012902003,15172174.931882374
Residential,6045.116918293168,8,Rural,Luxury,Pile,Flat,0,1,0,29.84765267832011,1.3033159743035208,12477802.790467363
Residential,6683.863078007929,46,Suburban,Luxury,Pile,Flat,1,1,0,23.385216335506534,1.1527221577538915,54344525.213829875
Industrial,1836.175658372151,40,Urban,Standard,Concrete,Flat,1,0,0,46.100747765604964,1.2961359426419583,9077594.816248938
Industrial,9152.678264657101,46,Rural,Luxury,Slab,Flat,0,1,0,39.08316903930856,0.974260467357811,36810131.19485934
Industrial,4245.828196431524,7,Rural,Luxury,Slab,Pitched,1,1,1,24.94192688243185,1.0271067600445463,6737377.207324202
Commercial,3893.071429670025,23,Suburban,Luxury,Slab,Dome,1,1,0,32.89493772539008,1.0339507360820803,18223802.751962416
Residential,5237.285282300091,44,Suburban,Standard,Slab,Pitched,0,1,1,28.61773084631203,0.8180196868230514,13380018.41144391
Industrial,564.963071073045,32,Urban,Standard,Slab,Flat,1,0,1,42.10383706130591,1.0387335109814364,1510236.4100078854
Residential,1746.2053506851862,11,Suburban,Luxury,Slab,Pitched,1,1,1,33.60248691872804,1.3623132014626234,4949325.637771719
Commercial,7406.532802621067,22,Rural,Premium,Slab,Flat,1,0,1,49.67839835319155,1.428108947024817,23736856.756559197
Commercial,919.706812458752,22,Rural,Luxury,Slab,Dome,0,1,0,21.642349467787852,1.1627528209451492,3362989.716785075
Industrial,6071.2058837172435,43,Suburban,Standard,Concrete,Dome,0,0,1,30.6504579840874,1.1188511866534543,17669095.571068384
Commercial,2528.9561858450775,25,Suburban,Standard,Slab,Dome,1,0,1,34.45700501329932,0.8215772330895592,5871379.50166202
Residential,3954.0265790155677,22,Suburban,Standard,Slab,Flat,1,0,1,35.09400664244959,1.4154430363097679,8969636.63413518
Industrial,2958.0679940299287,28,Suburban,Luxury,Slab,Pitched,1,1,1,29.478074671569104,0.8091071493981109,11798653.937541379
Residential,3621.1598930029963,29,Urban,Premium,Pile,Dome,0,0,1,41.87720747292704,1.4613250561471482,18979358.363602437
Residential,7218.55446132403,13,Suburban,Standard,Concrete,Flat,0,1,0,46.24241220466924,1.1424513740816635,9772260.354209587
Commercial,3041.504984669433,18,Urban,Standard,Concrete,Flat,0,1,0,48.16157905933589,1.0393541455023088,6690597.846360077
Commercial,5707.405938939282,2,Rural,Luxury,Concrete,Pitched,1,1,1,44.15280130398578,1.4469529043898621,12244781.776988516
Commercial,4812.898981771086,29,Suburban,Premium,Slab,Dome,1,1,0,45.517405919197984,0.8170736951770677,16421605.086582996
Commercial,6670.344537090216,21,Urban,Luxury,Slab,Flat,1,1,0,36.516359018599864,1.206997426408361,42515644.59883376
Commercial,9374.614419315105,15,Suburban,Standard,Pile,Pitched,1,0,1,44.77664679280444,1.1842527671495364,18174914.799547687
Industrial,7352.463762381478,27,Rural,Premium,Concrete,Dome,1,1,1,29.105117274438566,0.9535242808479675,18074201.125570334
Residential,2227.909748048492,31,Rural,Premium,Slab,Pitched,0,0,1,31.95436286327643,1.1002212019451474,6512746.666830917
Residential,408.7130371067183,15,Rural,Standard,Concrete,Pitched,1,0,0,29.50739041455633,1.2565848041606391,551667.739782282
Residential,2696.414038568268,23,Suburban,Premium,Pile,Flat,1,0,1,34.021620063437766,1.3089918378173493,9471476.623106323
Residential,5991.271513932523,24,Suburban,Premium,Pile,Flat,1,0,0,28.567388487159093,0.8005018010946059,11873060.686951919
Commercial,609.1155534940784,44,Urban,Luxury,Pile,Flat,0,0,0,48.8483432676334,1.4557974010637107,8922215.280773345
Residential,5014.02584729224,13,Rural,Standard,Concrete,Pitched,1,0,0,29.385338840170043,0.9151677606749687,4220022.182152532
Industrial,6008.744204277204,22,Suburban,Standard,Slab,Flat,0,0,1,22.941336143328193,0.9635063039556515,10361801.50441389
Industrial,3409.014519087912,43,Rural,Standard,Slab,Pitched,0,1,0,35.8045149815124,0.9844314119856938,7910071.247268424
Residential,7732.030817083637,37,Rural,Standard,Pile,Pitched,0,0,1,21.71297235335529,0.8264740955864247,14649403.19007813
Residential,1155.322706024341,33,Urban,Standard,Slab,Flat,0,1,1,23.316294989257415,0.8861364865132275,2694286.8021171098
Industrial,843.8640391845067,3,Urban,Premium,Pile,Dome,0,0,1,26.58168167588739,1.4904449460609133,1587948.706273937
Industrial,7309.068686415673,19,Urban,Luxury,Concrete,Dome,1,0,1,33.93050749646425,1.0206517161641002,30946322.241602603
Commercial,5005.364030441365,23,Urban,Standard,Pile,Dome,1,0,1,32.997527969270834,0.8807107632373345,11309709.744793607
Industrial,6915.183724634587,29,Rural,Luxury,Concrete,Pitched,0,0,0,43.99075586008374,0.8748938828222363,20995501.433103707
Commercial,4404.790652177087,30,Urban,Luxury,Pile,Pitched,0,1,0,42.1842396165234,1.3036219773689803,45658827.61136822
Commercial,2539.380129067157,39,Urban,Premium,Slab,Pitched,0,1,0,32.78954881972104,1.3981980648228487,21594341.631714396
Commercial,8209.112944974579,44,Urban,Standard,Slab,Flat,1,1,0,30.011126227268896,0.979866609655929,37606490.93730713
Commercial,8014.217201792894,47,Urban,Premium,Pile,Pitched,1,0,0,29.494063521844957,0.8146366586346645,42434695.33639186
Commercial,6977.495061458825,25,Rural,Standard,Slab,Flat,0,0,1,43.21985261882027,0.9561630129117491,14502087.69126363
Residential,2794.2368585766308,37,Urban,Premium,Slab,Flat,1,0,1,21.562172186638094,0.8395609835577302,12688621.560323533
Industrial,5943.283602003962,47,Rural,Luxury,Slab,Dome,1,1,0,20.384649485318175,0.8723764556410291,30524703.54306701
Commercial,3673.6415797062655,8,Suburban,Standard,Concrete,Dome,0,0,0,43.86633175779944,1.1020556838933497,5046520.902765878
Industrial,1006.6625259336781,42,Rural,Luxury,Slab,Dome,0,1,0,34.31439127967148,0.9609428596031429,4452330.44776973
Industrial,9181.404397076203,16,Rural,Luxury,Concrete,Flat,1,1,1,23.92643415660728,1.1611621149677964,27961221.746097352
Commercial,1454.5044460977178,8,Urban,Premium,Pile,Flat,1,0,1,27.06697803783504,0.9774456272800333,2938870.840567054
Residential,9507.349802825944,1,Suburban,Standard,Slab,Flat,1,0,1,47.975118592921476,1.4583761107720634,7247613.436864082
Commercial,4515.457152283761,44,Suburban,Luxury,Slab,Pitched,0,1,0,45.785089268746944,1.4341607775483851,39860080.82764684
Residential,1932.8159955023345,5,Suburban,Premium,Slab,Flat,0,1,0,41.293551506719176,1.1967642735073263,2790408.0760596558
Industrial,5464.819379045745,3,Suburban,Standard,Pile,Dome,0,1,0,34.4667569101198,1.0480967943911703,3636718.0104285623
Residential,8742.163775176443,1,Rural,Standard,Concrete,Dome,1,0,0,35.609708785741574,1.066802817424315,4093410.88811749
Residential,7349.026375454656,4,Suburban,Luxury,Concrete,Flat,1,0,1,49.25733605851876,1.0882965982011479,11918655.086571796
Residential,8084.955363828352,40,Rural,Standard,Slab,Flat,0,0,0,48.97311331652861,1.309305525494461,23278517.947081786
Industrial,6621.955330436102,35,Rural,Luxury,Pile,Dome,1,0,0,26.458071373575027,1.1161472968631865,28955108.397169583
Industrial,6953.537988726739,32,Rural,Standard,Pile,Flat,0,0,0,44.33313698915954,1.3997109625541282,19988864.255625095
Residential,8507.03695049666,42,Suburban,Premium,Pile,Dome,1,0,1,25.917279985010502,1.4608663501512553,56784108.782201886
Residential,2571.7132877059407,34,Urban,Luxury,Pile,Pitched,0,1,1,26.40612433651854,1.0351623073652538,13185303.893953564
Commercial,4945.307140067091,43,Urban,Luxury,Pile,Dome,1,1,0,40.2827910249373,1.1924861369629762,58652796.543703154
Residential,2289.973474014062,25,Suburban,Standard,Concrete,Pitched,1,1,1,32.15003295762645,0.8665395757827952,3722115.343546047
Commercial,9877.913279166805,10,Urban,Standard,Concrete,Flat,0,0,1,47.9463322131956,0.9403283334364514,14042390.746324979
Residential,9446.187462897471,21,Urban,Luxury,Concrete,Flat,0,1,1,22.670292046880263,1.089426036697112,39095773.21680382
Commercial,490.32543254820837,46,Rural,Standard,Slab,Pitched,0,0,1,35.345769224284794,0.9443419011312453,1374842.4850287114
Industrial,7085.194207905316,39,Rural,Premium,Pile,Flat,0,0,1,47.55564591329364,1.4135923435521023,31666949.308711715
Residential,9259.958342415091,27,Suburban,Standard,Slab,Pitched,0,1,0,47.123409814385155,0.9108003792413687,14721473.490807392
Residential,1887.695916760602,27,Suburban,Premium,Pile,Flat,1,0,0,24.695876402472237,1.1189625750871643,5692232.910704617
Residential,5722.657782471032,2,Urban,Premium,Concrete,Dome,0,1,0,30.999131002893694,1.223989468321913,7900036.725154722
Residential,9163.334146121615,41,Rural,Premium,Slab,Flat,0,1,1,38.573642001400884,1.2843047357125912,37226745.42420615
Commercial,436.0651879994085,48,Suburban,Premium,Concrete,Dome,0,0,1,24.781846543142066,1.0681485588085549,2828350.6865487113
Residential,7004.460645743715,13,Suburban,Premium,Pile,Dome,0,1,1,49.04066516137216,1.40836934810731,17971565.846417908
Industrial,3043.7551729882525,9,Suburban,Standard,Pile,Pitched,0,1,1,47.44247986182981,1.1978234057545478,4033555.716877425
Industrial,9251.522334227651,36,Suburban,Premium,Pile,Flat,1,1,0,25.008505371034076,1.1076554463132862,44552026.89263303
Residential,9713.47662713714,22,Suburban,Standard,Concrete,Pitched,0,1,0,23.634663837829564,0.8470684438364257,15483722.061480967
Industrial,9448.238242222997,42,Suburban,Premium,Pile,Flat,0,0,0,22.56225448424796,1.1252826279116155,52265764.659932725
Residential,4794.720744908891,26,Urban,Luxury,Concrete,Dome,0,1,0,47.28330992109893,1.3745150885710111,33255418.710745167
Residential,8634.222244794202,12,Rural,Premium,Slab,Dome,1,1,0,25.808714293863822,1.2301787127549209,16483118.294234384
Industrial,8461.039045497197,17,Rural,Luxury,Pile,Flat,1,1,0,32.48854785633064,1.382513717610383,36326831.48914058
Residential,3259.094685108231,14,Suburban,Premium,Pile,Flat,0,0,1,33.46554096956009,1.145808169419514,7156349.282012165
Industrial,8306.263194091705,14,Rural,Premium,Pile,Pitched,0,1,1,37.97033132640703,0.8829231935661374,12601847.083240876
Commercial,466.37558368337693,34,Rural,Premium,Slab,Flat,1,0,0,22.152060312422748,0.8095478920851168,1665848.3334435187
Residential,6003.0717969723255,20,Rural,Luxury,Pile,Flat,1,1,1,26.80275852201548,1.012253682703014,11702428.512360487
Commercial,2377.0874891482604,11,Suburban,Luxury,Concrete,Flat,1,1,0,47.94471160756778,1.2885933300484547,8850341.348668257
Industrial,1293.6121691950602,16,Suburban,Premium,Concrete,Pitched,0,1,0,47.25230321805709,1.3531819327591856,4351847.428179049
Commercial,861.8366961291706,31,Rural,Standard,Pile,Flat,0,0,1,43.43871942217076,1.0070269842342305,2072364.7796546912
Commercial,6993.258881193584,6,Rural,Premium,Pile,Dome,1,0,0,20.582037368546462,1.146957744618273,13207357.13114797
Industrial,3464.7621413038546,19,Suburban,Luxury,Slab,Pitched,0,0,0,29.81020305488306,1.0947832331038572,12230251.33998264
Commercial,7275.191038134739,37,Urban,Premium,Slab,Pitched,1,0,0,38.83876206028724,1.0873659490459995,43708709.3122675
Commercial,747.0277739095295,4,Rural,Luxury,Slab,Dome,1,0,1,28.25570635320427,0.9619440992401054,1083353.6837737781
Industrial,3221.3743445230425,47,Urban,Luxury,Pile,Dome,1,0,1,47.28760085161332,0.8954597735206209,23984127.64182978
Commercial,5440.963794515838,4,Rural,Luxury,Slab,Dome,0,1,1,39.01668385497325,0.9376819907618492,9069803.636803867
Industrial,7928.159331905739,20,Urban,Premium,Slab,Flat,1,0,1,22.15720151949337,0.8387326710143423,24607991.795252882
Commercial,3255.649779027492,10,Urban,Luxury,Concrete,Dome,1,1,0,47.27016766507109,0.938691519276504,10254209.050929267
Industrial,6296.32462672639,24,Urban,Luxury,Slab,Flat,0,0,1,48.732999745286676,0.8064406283377656,23832184.234686147
Industrial,8871.179707538253,35,Suburban,Premium,Concrete,Pitched,1,0,1,22.331372551751766,1.2390808804451847,41032547.185767725
Commercial,6197.045563004815,26,Urban,Luxury,Concrete,Pitched,0,0,1,35.97080704583945,1.021462785171378,34421368.16628285
Commercial,2406.2988000609744,37,Urban,Premium,Slab,Dome,1,1,0,29.100928466425113,1.481201297998836,23414723.492588896
Commercial,341.5677374097264,38,Urban,Luxury,Concrete,Flat,0,0,1,31.78517229444207,0.9356019355434085,2831879.280069162
Residential,8713.978851619206,21,Rural,Standard,Pile,Dome,1,0,1,25.389536538660256,1.0420799992167158,11218595.66578787
Residential,310.5671674188327,40,Urban,Standard,Pile,Dome,1,1,0,37.34216306037237,1.0504888110490733,1084226.636745638
Residential,8759.546559573575,39,Rural,Luxury,Slab,Flat,1,1,0,48.73938059746672,0.8059160472437225,29200941.23003538
Industrial,5336.477626869399,21,Urban,Standard,Pile,Dome,1,1,0,35.092178008148274,1.3874455671276213,17798664.887835376
Commercial,9396.770215277673,10,Urban,Premium,Concrete,Pitched,1,1,0,22.487437441834434,0.8223961221010273,18797170.824924897
Industrial,8007.954034159287,38,Suburban,Standard,Pile,Dome,0,0,1,38.60004000432225,1.458125884310469,25385455.66344604
Residential,9979.547694280041,46,Rural,Luxury,Slab,Flat,0,1,0,30.20668983353771,1.4244520457655345,72179240.00208503
Commercial,3572.0469729719307,4,Urban,Luxury,Slab,Flat,1,0,1,45.67775568773894,1.1748653412601744,9518381.190803276
Industrial,7695.164060418157,45,Rural,Premium,Concrete,Pitched,1,0,1,33.04034444949411,1.1805169024379045,34612814.592065684
Commercial,4079.1160447314974,20,Rural,Luxury,Slab,Flat,1,1,1,25.78518826826737,1.2576445460693093,18425623.08952938
Industrial,4850.768641008697,17,Suburban,Premium,Pile,Flat,0,0,1,25.733168680734348,1.070935008354421,12219425.754938764
Commercial,6312.304085861864,7,Suburban,Standard,Slab,Pitched,0,1,1,43.062925421634816,1.2530555983784988,9601267.187193627
Residential,8749.403430444754,4,Suburban,Standard,Concrete,Dome,1,0,0,27.967627949220798,0.8313378720819409,4474892.942479819
Residential,9842.426345073021,29,Suburban,Premium,Slab,Pitched,0,1,1,43.017001824776685,0.8378333391448086,26750701.355699364
Commercial,7705.90679725873,14,Suburban,Premium,Pile,Dome,1,1,1,26.176619322997983,1.1200612937336811,18026328.07327976
Industrial,4235.891143456604,3,Suburban,Luxury,Concrete,Pitched,1,1,1,29.650591061039282,1.1847356107742244,8525642.821356654
Residential,4271.434322542995,24,Suburban,Standard,Pile,Dome,1,1,0,33.96460917319098,1.4214723482350733,12411639.624217326
Residential,7402.0647857300255,37,Suburban,Premium,Concrete,Pitched,0,1,1,48.295875490803525,0.8732624437355274,20662337.16374391
Residential,2463.893743106193,16,Urban,Standard,Slab,Dome,1,1,1,47.95194274261474,1.3758535490357224,6025317.174457869
Commercial,1193.6937200008072,4,Rural,Premium,Concrete,Pitched,1,0,0,26.206156262668635,0.9470331361044487,1433224.972855105
Commercial,3610.7593606436876,24,Suburban,Standard,Concrete,Dome,1,0,1,30.746571237292184,1.0758585539570222,8781812.251268843
Industrial,2943.666017375409,34,Suburban,Luxury,Slab,Pitched,0,0,1,24.48198165361317,1.021621704379189,15846617.73284228
Industrial,3033.4503925143017,30,Rural,Standard,Pile,Flat,0,1,0,35.299552379404915,1.0801086910057793,4285151.236673027
Industrial,2412.7167353941086,18,Urban,Standard,Slab,Dome,0,0,1,33.817476520839996,0.9053468486508099,4569575.576523462
Commercial,516.7225773999826,19,Rural,Standard,Concrete,Pitched,1,1,1,47.02280487352198,1.1524990520824885,993634.6671091575
Commercial,276.9519538607967,31,Rural,Standard,Slab,Dome,0,0,1,47.90016133373218,1.361149812881957,798644.4257497018
Industrial,9878.451658386712,19,Suburban,Standard,Concrete,Dome,1,0,1,31.507021730218764,1.109073807265228,20557090.562875282
Industrial,4334.954023985038,49,Rural,Luxury,Slab,Pitched,0,1,1,34.75213829056968,1.1434295031287394,31713025.878459908
Commercial,3904.8338068808484,46,Rural,Premium,Slab,Dome,1,0,0,46.88708747438399,1.3941373096969198,26180510.91751327
Industrial,6828.508098661391,19,Suburban,Standard,Pile,Pitched,0,0,0,44.201234232351844,1.2942406802466215,16363856.784905843
Residential,2260.713489864135,22,Suburban,Luxury,Concrete,Flat,1,0,0,20.10968934033948,1.1433180859638492,7335670.362521652
Commercial,9504.615721107231,24,Suburban,Standard,Pile,Dome,0,1,1,29.601786925507476,0.9803869537324258,23076038.36576026
Industrial,7884.815642713966,45,Suburban,Standard,Concrete,Flat,0,0,1,32.653227258083774,1.4194487227914765,34077346.78044365
Commercial,985.1689228913692,12,Rural,Premium,Slab,Dome,0,1,1,26.891488510496952,1.203914281183391,1969720.2482620713
Residential,4234.049680270791,30,Rural,Standard,Concrete,Dome,1,0,0,25.98714847687816,0.9548033270774854,5481805.769584585
Commercial,8803.271244865431,38,Urban,Luxury,Pile,Dome,0,0,1,21.13353519787039,0.9883838268466073,70521939.4562197
Commercial,9452.847020684962,31,Urban,Luxury,Pile,Pitched,0,0,1,39.301091752092816,1.3621931622553722,91358887.23332654
Commercial,4727.2749613737105,36,Rural,Premium,Pile,Flat,0,0,1,27.87530871449497,0.8309018934612189,16304359.122214437
Commercial,6172.772753186006,19,Urban,Standard,Concrete,Dome,0,1,0,21.570415352939392,1.494464530920174,24021558.31164016
Residential,1753.6360663115447,48,Rural,Luxury,Pile,Pitched,1,0,0,26.92937931584191,0.8912461758003543,7026930.794991391
Commercial,9912.569398756068,45,Urban,Standard,Pile,Dome,0,1,1,44.057418585083795,1.3572479677778562,68463833.00750177
Commercial,2393.5498436960897,36,Suburban,Standard,Pile,Pitched,1,1,1,45.5446754493964,1.076342721740178,9684041.046715239
Industrial,9433.044563937743,30,Urban,Standard,Slab,Dome,1,0,1,34.49198735579908,1.1445513283012267,29733102.718489368
Commercial,6531.5018250244475,49,Suburban,Premium,Slab,Flat,1,0,0,32.48212011226059,1.4164554042252044,56039565.18127905
Industrial,6116.5942693007055,33,Suburban,Standard,Concrete,Flat,1,1,0,49.33561080505345,1.0890378327124492,15446092.707441287
Residential,5175.616259063435,18,Suburban,Luxury,Concrete,Dome,0,1,0,26.016939787642098,1.176245627571264,20157225.867307305
Residential,2383.631136005811,49,Suburban,Standard,Pile,Pitched,1,0,1,26.460778485638254,0.834509763686419,5334555.285561174
Residential,1847.627516854532,28,Urban,Luxury,Slab,Dome,1,0,0,28.756015311091993,0.8016432317072173,7471073.76570145
Residential,2282.813469794736,47,Rural,Standard,Pile,Pitched,1,0,1,25.18271954843262,0.9713599111012081,5091541.000585144
Industrial,1945.7387952281197,11,Suburban,Luxury,Pile,Dome,1,0,1,31.380967946125597,1.2764081650431371,5463641.624137784
Commercial,7817.886288310858,45,Urban,Luxury,Slab,Pitched,0,0,0,47.325026809692616,0.8848854253513957,48228257.657483146
Residential,3566.2400657506278,33,Suburban,Standard,Slab,Flat,0,1,1,38.46043521885723,0.8796333711631846,6933155.366557812
Commercial,672.6424979776241,17,Urban,Standard,Slab,Dome,1,0,0,32.358396458367906,1.0876724256251324,1413232.524328607
Industrial,9694.116038394031,6,Urban,Luxury,Concrete,Flat,1,0,1,48.032323837136445,1.2534859270257586,27641043.89024393
Industrial,8849.480261137915,4,Urban,Premium,Concrete,Flat,1,1,1,21.45392697427467,1.2984503945735515,20676882.691563074
Industrial,9284.747603632608,20,Rural,Standard,Pile,Dome,0,0,0,26.308285337055842,0.9249154718688624,11561795.198631631
Residential,9949.58744419971,48,Urban,Premium,Concrete,Dome,0,0,1,36.97665815305277,0.8557117031604298,54385864.044218846
Commercial,1821.5629672729242,47,Urban,Standard,Slab,Pitched,0,1,1,38.46657869579538,1.458277923761881,11188926.365096377
Commercial,4022.795987136322,27,Rural,Standard,Slab,Pitched,0,0,1,21.186725196878395,0.9824664677934712,6762707.607402258
Commercial,7606.560909470504,15,Rural,Standard,Concrete,Flat,0,1,1,32.09116273721396,1.3973425483261068,13025934.576253995
Industrial,6990.604118732543,6,Urban,Standard,Pile,Pitched,1,0,1,39.47461894492618,1.4044440153239728,11031536.489831468
Residential,1623.569472764565,47,Rural,Premium,Pile,Pitched,0,0,1,40.94211639210205,1.340765814233781,9661350.956242414
Industrial,8176.747937407116,14,Suburban,Standard,Concrete,Dome,0,0,1,39.14419707548808,0.9181835246567991,8428302.696098393
Industrial,2321.9616611829406,11,Suburban,Luxury,Pile,Pitched,1,1,1,29.616896730827737,1.3752610214779404,8641509.15282997
Commercial,2315.7943867439685,39,Rural,Luxury,Pile,Flat,0,1,0,22.805603707937287,1.3384753914691108,15130789.838819727
