building_type,area_sqm,floors,location,foundation_type,roof_type,has_basement,has_parking,labor_rate,total_cost
Residential,5591,5,Suburban,Concrete,Flat,0,1,14200,50000000
Residential,8834,20,Rural,Concrete,Pitched,0,1,4600,50000000
Residential,5387,14,Rural,Pile,Dome,1,1,12300,50000000
Residential,12444,9,Urban,Concrete,Dome,1,1,9200,50000000
Industrial,13760,8,Urban,Pile,Dome,1,0,9000,50000000
Residential,11921,18,Rural,Concrete,Dome,0,1,5400,50000000
Residential,12555,2,Rural,Concrete,Dome,1,1,14200,50000000
Residential,5494,13,Urban,Concrete,Flat,0,1,14000,50000000
Residential,6466,16,Rural,Pile,Dome,0,1,12900,50000000
Industrial,6723,1,Urban,Slab,Pitched,1,1,6800,23561402
Industrial,14969,10,Rural,Pile,Pitched,1,1,6000,50000000
Commercial,7833,16,Suburban,Pile,Pitched,1,0,9900,50000000
Industrial,5834,12,Suburban,Pile,Pitched,1,1,3600,50000000
Industrial,1213,11,Urban,Slab,Dome,1,1,9300,50000000
Commercial,3157,1,Urban,Concrete,Dome,0,0,14300,19232158
Residential,11185,16,Suburban,Pile,Dome,1,1,4000,50000000
Commercial,5964,8,Urban,Pile,Pitched,0,1,13600,50000000
Commercial,5304,4,Urban,Concrete,Flat,0,0,10300,50000000
Residential,5402,15,Urban,Pile,Pitched,0,1,6700,50000000
Commercial,4136,17,Suburban,Pile,Flat,0,1,10300,50000000
Industrial,12393,5,Suburban,Pile,Pitched,0,1,12100,50000000
Commercial,7075,13,Suburban,Pile,Pitched,0,1,4200,50000000
Residential,4561,16,Suburban,Slab,Dome,0,1,9800,50000000
Residential,8144,12,Rural,Concrete,Dome,1,1,13400,50000000
Industrial,12212,14,Rural,Pile,Flat,0,0,14400,50000000
Industrial,14815,11,Urban,Slab,Dome,1,1,11500,50000000
Commercial,13747,1,Urban,Slab,Pitched,1,1,3200,37153289
Residential,11212,2,Rural,Pile,Pitched,0,1,7100,50000000
Industrial,14903,16,Urban,Concrete,Dome,1,1,10200,50000000
Commercial,7793,8,Urban,Concrete,Pitched,0,1,9100,50000000
Residential,11564,17,Suburban,Pile,Pitched,1,1,12300,50000000
Commercial,3321,19,Rural,Pile,Pitched,1,1,10600,50000000
Commercial,10459,4,Rural,Concrete,Dome,1,1,4500,50000000
Commercial,8125,15,Urban,Slab,Pitched,1,1,7800,50000000
Residential,4919,13,Rural,Pile,Flat,0,1,7000,50000000
Industrial,11208,17,Suburban,Concrete,Dome,0,1,12800,50000000
Industrial,8880,13,Urban,Pile,Flat,0,1,6600,50000000
Industrial,5998,8,Suburban,Concrete,Pitched,0,0,12000,50000000
Residential,6583,20,Urban,Slab,Flat,1,1,3200,50000000
Residential,3538,18,Rural,Pile,Dome,0,1,8200,50000000
Residential,2621,19,Urban,Pile,Flat,0,1,10200,50000000
Residential,1521,19,Suburban,Slab,Flat,0,1,7000,50000000
Industrial,13706,14,Urban,Slab,Dome,1,1,9400,50000000
Industrial,4438,18,Rural,Pile,Flat,0,1,14100,50000000
Residential,13655,4,Urban,Pile,Dome,0,1,3700,50000000
Residential,13939,1,Rural,Pile,Pitched,1,1,11000,43665914
Industrial,4743,5,Suburban,Concrete,Dome,1,1,3700,50000000
Residential,7899,7,Urban,Concrete,Flat,1,1,5300,50000000
Industrial,11604,19,Rural,Pile,Dome,1,1,13800,50000000
Industrial,5855,17,Urban,Slab,Pitched,1,0,3000,50000000
Residential,10954,5,Rural,Slab,Dome,0,1,3300,50000000
Commercial,6492,10,Suburban,Pile,Flat,1,1,3600,50000000
Industrial,2987,17,Rural,Pile,Flat,0,1,7600,50000000
Commercial,2089,14,Urban,Slab,Dome,0,0,9300,50000000
Industrial,8265,16,Suburban,Concrete,Dome,1,0,5900,50000000
Residential,4985,15,Urban,Slab,Dome,0,0,5500,50000000
Residential,986,15,Suburban,Slab,Pitched,0,0,14800,50000000
Commercial,14378,16,Rural,Pile,Dome,1,1,6600,50000000
Residential,1416,20,Suburban,Slab,Dome,1,1,4800,50000000
Commercial,4382,14,Urban,Pile,Flat,1,0,5700,50000000
Commercial,9167,18,Suburban,Pile,Dome,1,0,14200,50000000
Commercial,8573,13,Suburban,Slab,Dome,0,1,9200,50000000
Residential,5893,18,Suburban,Pile,Dome,0,1,14000,50000000
Commercial,4001,1,Urban,Slab,Flat,1,0,11400,18886603
Commercial,3582,18,Urban,Slab,Pitched,0,1,6800,50000000
Industrial,750,7,Rural,Concrete,Pitched,1,1,8800,15261272
Industrial,10843,13,Urban,Pile,Flat,0,1,13300,50000000
Industrial,7188,14,Urban,Pile,Flat,0,0,3700,50000000
Commercial,7853,20,Urban,Pile,Flat,1,1,6300,50000000
Commercial,14061,2,Suburban,Slab,Flat,0,1,6200,50000000
Industrial,7984,2,Rural,Slab,Flat,0,1,12400,44653463
Residential,5041,3,Rural,Slab,Flat,0,0,3500,21796557
Commercial,5981,10,Rural,Concrete,Dome,1,0,8400,50000000
Residential,11965,9,Suburban,Slab,Dome,1,1,12700,50000000
Residential,14278,16,Urban,Slab,Pitched,0,1,12700,50000000
Commercial,3327,10,Suburban,Concrete,Flat,1,1,11800,50000000
Residential,6683,9,Rural,Concrete,Pitched,0,1,7400,50000000
Residential,1562,9,Suburban,Concrete,Dome,0,0,10900,38779594
Commercial,347,20,Urban,Pile,Flat,0,1,11400,20749980
Residential,12791,8,Rural,Slab,Flat,1,1,7100,50000000
Commercial,10034,9,Rural,Pile,Pitched,0,1,14500,50000000
Industrial,7680,1,Urban,Slab,Flat,1,1,6200,30009020
Industrial,6627,16,Rural,Slab,Dome,0,1,13000,50000000
Industrial,519,2,Rural,Pile,Pitched,0,1,11000,2415643
Residential,8035,19,Rural,Pile,Pitched,1,1,10200,50000000
Commercial,13445,6,Urban,Pile,Flat,0,0,7400,50000000
Commercial,11796,20,Rural,Concrete,Pitched,1,1,10800,50000000
Commercial,4133,16,Urban,Concrete,Dome,0,1,14500,50000000
Residential,11386,7,Suburban,Concrete,Flat,0,1,6600,50000000
Commercial,11644,16,Suburban,Pile,Pitched,1,1,11500,50000000
Commercial,2449,12,Rural,Slab,Pitched,1,0,11400,50000000
Industrial,2619,7,Suburban,Pile,Pitched,0,1,3600,48211001
Commercial,13468,10,Urban,Pile,Dome,0,1,15000,50000000
Residential,1998,20,Rural,Concrete,Flat,1,1,6400,50000000
Industrial,10172,2,Suburban,Concrete,Pitched,0,1,9100,50000000
Residential,3163,18,Urban,Pile,Pitched,0,1,8800,50000000
Commercial,12974,11,Rural,Concrete,Dome,0,0,14600,50000000
Commercial,4024,14,Rural,Slab,Flat,0,0,11200,50000000
Residential,3246,3,Suburban,Concrete,Pitched,0,1,8400,25400856
Residential,4448,8,Rural,Concrete,Flat,0,1,13000,50000000
Residential,13398,8,Suburban,Pile,Dome,0,0,13000,50000000
Industrial,4173,2,Rural,Pile,Flat,1,1,14400,22441909
Residential,13163,13,Rural,Concrete,Dome,0,0,7300,50000000
Commercial,8570,8,Urban,Pile,Dome,1,1,9000,50000000
Commercial,4955,2,Urban,Concrete,Pitched,0,0,3800,31797964
Commercial,2707,8,Urban,Concrete,Pitched,0,1,3600,50000000
Industrial,12538,5,Rural,Pile,Pitched,0,1,11800,50000000
Commercial,6027,1,Suburban,Slab,Flat,1,1,7600,19587719
Industrial,13950,4,Rural,Concrete,Dome,0,0,8600,50000000
Industrial,1636,5,Suburban,Pile,Dome,0,0,3600,16340930
Residential,14494,7,Suburban,Slab,Dome,1,1,10000,50000000
Residential,1708,3,Suburban,Concrete,Pitched,1,0,5700,11029356
Industrial,9465,14,Suburban,Slab,Pitched,1,1,4400,50000000
Commercial,6866,15,Suburban,Concrete,Flat,0,1,4500,50000000
Commercial,8519,11,Rural,Pile,Pitched,0,0,10600,50000000
Commercial,4565,2,Suburban,Pile,Pitched,0,1,13200,28464617
Commercial,2368,12,Urban,Concrete,Pitched,0,0,7700,50000000
Residential,7142,9,Rural,Slab,Flat,0,1,3300,50000000
Residential,14540,13,Suburban,Concrete,Dome,0,1,5000,50000000
Residential,5927,14,Suburban,Concrete,Flat,0,0,9900,50000000
Residential,5504,17,Suburban,Slab,Flat,0,1,12800,50000000
Commercial,14171,8,Suburban,Slab,Dome,1,1,9900,50000000
Industrial,10881,7,Urban,Concrete,Flat,0,1,8900,50000000
Commercial,12812,19,Urban,Pile,Dome,0,1,10500,50000000
Commercial,3350,10,Rural,Pile,Pitched,0,1,14200,50000000
Commercial,8762,3,Rural,Concrete,Pitched,1,0,13500,50000000
Commercial,8255,20,Urban,Pile,Flat,1,1,3900,50000000
Industrial,7125,4,Rural,Concrete,Pitched,0,1,13500,50000000
Residential,9338,14,Rural,Slab,Pitched,1,1,11500,50000000
Commercial,14201,4,Suburban,Pile,Dome,1,0,11700,50000000
Residential,3908,9,Suburban,Slab,Flat,1,0,4300,50000000
Residential,12328,5,Rural,Slab,Flat,1,1,3500,50000000
Commercial,4711,6,Rural,Concrete,Flat,1,1,6300,50000000
Commercial,1218,1,Urban,Slab,Dome,0,1,5700,3381485
Residential,10450,1,Suburban,Concrete,Dome,0,0,4200,34813175
Industrial,1938,8,Rural,Concrete,Dome,1,0,14900,49918772
Residential,11853,18,Rural,Slab,Pitched,0,1,9000,50000000
Commercial,13388,10,Suburban,Pile,Flat,1,1,3600,50000000
Residential,13307,3,Urban,Concrete,Flat,1,1,3200,50000000
Industrial,7107,2,Urban,Pile,Dome,0,1,6000,29069092
Industrial,14826,20,Urban,Concrete,Flat,0,1,5500,50000000
Commercial,5994,13,Suburban,Concrete,Dome,0,0,12500,50000000
Residential,14315,2,Suburban,Pile,Flat,0,1,11000,50000000
Industrial,7037,8,Urban,Concrete,Dome,1,1,5500,50000000
Commercial,13072,6,Urban,Pile,Flat,1,0,4400,50000000
Residential,3606,4,Rural,Slab,Flat,1,0,6400,30591721
Industrial,12553,15,Urban,Slab,Pitched,1,1,12400,50000000
Commercial,7847,3,Urban,Concrete,Dome,1,0,11200,50000000
Industrial,697,8,Urban,Slab,Pitched,1,1,5900,16556304
Industrial,13167,9,Urban,Slab,Flat,1,0,7900,50000000
Residential,12471,12,Urban,Concrete,Flat,1,0,4000,50000000
Commercial,7079,9,Suburban,Pile,Pitched,0,0,8600,50000000
Industrial,9373,17,Rural,Slab,Pitched,1,1,7000,50000000
Residential,14041,19,Suburban,Slab,Flat,0,1,12600,50000000
Industrial,6137,8,Rural,Pile,Pitched,1,0,4200,50000000
Commercial,3739,6,Urban,Slab,Dome,1,1,4300,50000000
Residential,5921,4,Urban,Pile,Pitched,0,1,10400,50000000
Commercial,12940,20,Rural,Concrete,Dome,1,1,12100,50000000
Industrial,9637,8,Urban,Slab,Dome,1,0,4400,50000000
Industrial,12187,2,Suburban,Concrete,Pitched,0,1,8300,50000000
Residential,13917,5,Rural,Pile,Dome,0,1,9000,50000000
Residential,13094,3,Urban,Slab,Flat,0,1,4900,50000000
Industrial,8055,14,Rural,Pile,Pitched,0,1,9600,50000000
Commercial,8584,5,Rural,Slab,Dome,0,1,13300,50000000
Industrial,12760,1,Rural,Slab,Dome,0,1,14300,43399510
Residential,5658,1,Rural,Pile,Flat,1,1,10500,14005961
Industrial,7431,12,Suburban,Pile,Pitched,0,1,5700,50000000
Residential,14844,10,Rural,Pile,Dome,1,0,5700,50000000
Commercial,8144,20,Urban,Pile,Pitched,1,0,5600,50000000
Commercial,10452,20,Rural,Slab,Pitched,1,1,12600,50000000
Residential,11887,2,Suburban,Concrete,Flat,0,0,4200,33671215
Industrial,1256,11,Suburban,Slab,Dome,0,1,11800,50000000
Residential,13526,20,Suburban,Slab,Pitched,0,1,12000,50000000
Industrial,11252,6,Rural,Slab,Pitched,0,1,13000,50000000
Residential,5842,19,Rural,Pile,Pitched,1,1,12700,50000000
Commercial,12534,13,Rural,Pile,Dome,0,0,9100,50000000
Commercial,14727,12,Suburban,Pile,Dome,0,0,9400,50000000
Residential,1027,19,Rural,Concrete,Flat,0,1,10200,42019730
Commercial,10840,2,Suburban,Concrete,Flat,0,1,14100,50000000
Industrial,556,6,Suburban,Concrete,Dome,0,0,6100,10542430
Residential,14947,14,Urban,Pile,Pitched,0,0,10500,50000000
Industrial,2392,18,Urban,Slab,Pitched,1,1,14600,50000000
Industrial,9021,18,Rural,Slab,Dome,0,0,3100,50000000
Residential,1497,16,Rural,Pile,Pitched,1,1,7100,47564565
Residential,802,5,Urban,Concrete,Pitched,0,1,5800,10201472
Industrial,9962,10,Suburban,Concrete,Dome,1,0,13700,50000000
Residential,10729,6,Urban,Concrete,Pitched,0,1,14900,50000000
Industrial,4507,17,Urban,Concrete,Dome,1,1,14800,50000000
Residential,13237,9,Urban,Concrete,Pitched,0,0,4800,50000000
Industrial,7739,5,Urban,Concrete,Pitched,0,1,11600,50000000
Commercial,9252,2,Rural,Slab,Flat,0,0,7300,44769562
Commercial,11955,11,Suburban,Slab,Dome,0,1,10000,50000000
Residential,12341,13,Urban,Slab,Flat,1,1,7500,50000000
Residential,7847,8,Urban,Slab,Flat,0,0,8000,50000000
Industrial,3770,8,Urban,Slab,Dome,0,1,9300,50000000
Commercial,4562,14,Rural,Pile,Flat,0,1,9600,50000000
Industrial,8031,9,Suburban,Concrete,Pitched,1,1,14600,50000000
Residential,7644,4,Rural,Concrete,Dome,0,1,7000,50000000
Commercial,12779,16,Suburban,Pile,Pitched,0,0,5600,50000000
Industrial,3193,20,Suburban,Pile,Dome,1,0,8100,50000000
Industrial,730,15,Urban,Slab,Flat,0,1,10100,41097663
Residential,8621,11,Rural,Concrete,Dome,0,1,6400,50000000
Commercial,5044,20,Urban,Pile,Dome,0,1,7100,50000000
Residential,11052,10,Suburban,Slab,Pitched,0,1,10700,50000000
Residential,13171,12,Urban,Pile,Flat,0,1,5300,50000000
Industrial,12002,15,Rural,Concrete,Dome,1,0,8300,50000000
Industrial,1859,1,Urban,Slab,Dome,0,1,3100,4795041
Commercial,11532,12,Urban,Concrete,Flat,0,1,4500,50000000
Residential,10979,3,Suburban,Slab,Flat,1,1,9600,50000000
Commercial,13827,17,Suburban,Slab,Flat,0,1,14200,50000000
Industrial,4372,18,Urban,Slab,Pitched,1,1,5800,50000000
Industrial,10939,13,Suburban,Pile,Flat,0,0,4100,50000000
Commercial,11594,12,Urban,Pile,Flat,0,0,6500,50000000
Residential,3436,5,Urban,Pile,Flat,0,0,4700,41638814
Industrial,7409,8,Suburban,Concrete,Flat,1,1,3400,50000000
Commercial,853,16,Rural,Slab,Dome,0,1,8800,38771069
Commercial,1382,1,Suburban,Pile,Dome,1,1,11800,5473446
Residential,14785,14,Suburban,Pile,Flat,0,1,9900,50000000
Residential,4395,20,Urban,Pile,Flat,0,1,3600,50000000
Commercial,5448,1,Rural,Concrete,Flat,1,0,11500,20282897
Industrial,10537,2,Suburban,Concrete,Dome,1,1,7300,50000000
Industrial,766,20,Rural,Pile,Flat,1,1,3500,22042967
Commercial,14161,1,Suburban,Slab,Dome,0,1,11500,46054984
Residential,7909,15,Urban,Pile,Flat,0,1,7800,50000000
Residential,1911,6,Suburban,Pile,Flat,1,1,6700,29171884
Commercial,8313,9,Urban,Concrete,Dome,0,0,7300,50000000
Residential,9468,17,Urban,Slab,Flat,0,1,5900,50000000
Residential,13316,12,Rural,Pile,Pitched,0,0,11600,50000000
Commercial,1015,1,Urban,Concrete,Pitched,1,1,6300,3733142
Industrial,5186,9,Rural,Concrete,Flat,1,0,14400,50000000
Industrial,6088,4,Suburban,Concrete,Dome,1,1,13200,50000000
Residential,4668,9,Rural,Pile,Dome,0,0,5300,50000000
Residential,7273,5,Urban,Pile,Flat,1,1,14400,50000000
Commercial,14050,15,Urban,Concrete,Pitched,0,1,14200,50000000
Commercial,9490,12,Rural,Concrete,Pitched,1,1,12800,50000000
Residential,2527,10,Rural,Slab,Pitched,1,1,11900,50000000
Residential,1227,15,Rural,Concrete,Pitched,0,1,12100,45933024
Residential,3701,12,Suburban,Slab,Flat,0,1,8000,50000000
Commercial,2101,6,Rural,Concrete,Pitched,0,1,8500,29895435
Industrial,12552,10,Suburban,Pile,Pitched,0,0,6400,50000000
Commercial,2972,12,Suburban,Slab,Pitched,1,1,10100,50000000
Industrial,3969,5,Rural,Concrete,Dome,0,1,9300,50000000
Industrial,12467,12,Urban,Concrete,Dome,1,1,6900,50000000
Commercial,9367,6,Rural,Concrete,Dome,0,1,11900,50000000
Commercial,12182,4,Suburban,Pile,Flat,1,0,3900,50000000
Commercial,6747,18,Urban,Slab,Flat,0,0,11200,50000000
Residential,8064,10,Rural,Concrete,Dome,0,0,11900,50000000
Residential,11285,13,Rural,Slab,Pitched,0,1,6400,50000000
Residential,1409,8,Rural,Slab,Flat,0,0,6200,15779428
Residential,2884,11,Suburban,Slab,Flat,0,1,3800,50000000
Commercial,4341,14,Rural,Slab,Dome,0,0,13600,50000000
Residential,8341,11,Rural,Concrete,Pitched,0,1,7500,50000000
Commercial,14188,14,Rural,Pile,Flat,1,1,14600,50000000
Residential,6816,18,Urban,Slab,Dome,1,1,4900,50000000
Residential,6372,2,Rural,Pile,Flat,1,1,11100,24680100
Industrial,12551,10,Suburban,Slab,Flat,1,0,5400,50000000
Commercial,2431,18,Urban,Concrete,Pitched,1,0,7200,50000000
Industrial,10264,16,Rural,Pile,Dome,1,0,3300,50000000
Residential,14748,9,Rural,Pile,Flat,1,1,7000,50000000
Commercial,1507,20,Urban,Concrete,Pitched,0,0,11200,50000000
Residential,5801,13,Rural,Concrete,Pitched,0,1,4200,50000000
Industrial,10649,5,Rural,Concrete,Pitched,0,1,8500,50000000
Residential,13309,17,Urban,Pile,Dome,0,0,8300,50000000
Commercial,9250,19,Suburban,Pile,Dome,1,1,9000,50000000
Residential,12459,8,Rural,Pile,Dome,1,0,10200,50000000
Residential,6289,5,Urban,Slab,Dome,0,0,7400,50000000
Residential,13148,16,Rural,Slab,Flat,0,1,14300,50000000
Commercial,10831,12,Suburban,Concrete,Pitched,0,1,3900,50000000
Residential,5282,18,Suburban,Slab,Flat,0,1,3800,50000000
Residential,7719,8,Suburban,Slab,Flat,0,1,11300,50000000
Industrial,4136,15,Rural,Pile,Pitched,0,1,3300,50000000
Commercial,7965,11,Urban,Slab,Pitched,0,0,10000,50000000
Residential,10007,3,Suburban,Concrete,Dome,0,1,15000,50000000
Residential,11407,8,Suburban,Concrete,Dome,0,0,4400,50000000
Industrial,1628,9,Suburban,Pile,Flat,0,1,12200,40549870
Industrial,3919,17,Urban,Slab,Dome,1,1,13600,50000000
Commercial,2504,13,Urban,Concrete,Flat,0,1,8500,50000000
Industrial,2311,9,Rural,Slab,Pitched,0,1,12300,50000000
Industrial,2104,7,Urban,Concrete,Pitched,1,1,9700,50000000
Commercial,9768,20,Urban,Pile,Pitched,1,1,11700,50000000
Industrial,5911,16,Rural,Slab,Dome,0,1,13000,50000000
Commercial,7180,20,Suburban,Slab,Pitched,0,1,4500,50000000
Residential,8433,20,Rural,Concrete,Pitched,0,1,14000,50000000
Residential,7449,7,Suburban,Pile,Flat,0,0,14100,50000000
Residential,13970,11,Suburban,Pile,Flat,0,1,11300,50000000
Residential,10263,4,Suburban,Pile,Pitched,0,1,14700,50000000
Residential,1524,11,Urban,Pile,Pitched,0,1,6600,30305932
Industrial,4305,8,Suburban,Concrete,Dome,1,0,5200,50000000
Commercial,4220,4,Rural,Concrete,Dome,0,1,6700,35419720
Residential,5999,20,Suburban,Concrete,Flat,0,1,14100,50000000
Industrial,2779,10,Urban,Slab,Flat,1,0,4800,50000000
Industrial,10835,17,Suburban,Pile,Dome,0,1,4300,50000000
Industrial,3021,10,Rural,Pile,Pitched,0,0,9100,50000000
Residential,7940,11,Urban,Pile,Dome,1,0,4500,50000000
Commercial,12133,20,Urban,Slab,Dome,1,1,9300,50000000
Residential,6669,4,Suburban,Slab,Dome,1,0,13700,50000000
Industrial,8223,18,Urban,Slab,Pitched,1,1,14100,50000000
Industrial,9844,14,Suburban,Pile,Pitched,0,1,9500,50000000
Industrial,11301,15,Suburban,Pile,Flat,0,0,14000,50000000
Commercial,3145,15,Rural,Pile,Dome,1,1,7700,50000000
Commercial,13947,9,Rural,Pile,Pitched,1,1,12900,50000000
Commercial,14623,6,Rural,Pile,Pitched,0,0,10200,50000000
Commercial,11614,16,Suburban,Slab,Pitched,1,1,3100,50000000
Residential,8333,9,Rural,Pile,Flat,0,1,15000,50000000
Residential,14094,4,Urban,Concrete,Flat,1,0,5700,50000000
Industrial,9431,20,Suburban,Pile,Flat,1,1,6800,50000000
Industrial,1841,11,Urban,Slab,Pitched,0,0,4600,50000000
Industrial,3433,4,Rural,Pile,Dome,0,1,9500,33694498
Industrial,11391,11,Urban,Concrete,Pitched,1,1,5700,50000000
Commercial,12244,14,Urban,Pile,Pitched,0,1,10000,50000000
Residential,2767,10,Suburban,Slab,Dome,1,0,8000,50000000
Industrial,6600,15,Suburban,Slab,Dome,1,1,13000,50000000
Residential,3564,11,Rural,Concrete,Dome,0,0,8900,50000000
Industrial,11795,6,Suburban,Concrete,Dome,1,0,14500,50000000
Industrial,12352,12,Rural,Slab,Flat,0,1,6600,50000000
Commercial,6311,18,Suburban,Slab,Flat,0,1,6700,50000000
Industrial,6087,8,Suburban,Pile,Dome,0,0,13300,50000000
Residential,11868,16,Suburban,Concrete,Flat,0,1,13300,50000000
Industrial,9685,3,Suburban,Slab,Pitched,1,1,14500,50000000
Commercial,2635,7,Suburban,Slab,Flat,0,1,12900,50000000
Commercial,7790,8,Suburban,Concrete,Flat,0,1,9400,50000000
Industrial,11692,16,Rural,Concrete,Flat,1,1,5900,50000000
Residential,770,13,Rural,Slab,Flat,1,1,5800,17527323
Commercial,3134,9,Suburban,Pile,Pitched,0,1,10200,50000000
Commercial,5741,20,Urban,Slab,Dome,0,0,8700,50000000
Commercial,4157,20,Rural,Slab,Dome,0,1,9700,50000000
Residential,4223,1,Rural,Slab,Pitched,0,1,10700,13198947
Commercial,10549,5,Suburban,Concrete,Pitched,1,1,4400,50000000
Residential,1852,3,Urban,Concrete,Flat,0,1,3100,10204381
Commercial,747,14,Rural,Concrete,Flat,1,0,9400,25128304
Residential,12805,19,Suburban,Pile,Pitched,0,0,10000,50000000
Commercial,3837,15,Rural,Slab,Dome,1,0,8900,50000000
Industrial,8549,4,Suburban,Concrete,Flat,0,1,12600,50000000
Residential,10648,8,Urban,Slab,Flat,0,0,11200,50000000
Residential,10537,15,Rural,Concrete,Dome,0,1,13700,50000000
Commercial,8923,8,Urban,Pile,Pitched,1,1,15000,50000000
Industrial,13866,10,Urban,Slab,Pitched,1,1,6600,50000000
Industrial,10580,11,Rural,Pile,Flat,0,1,12700,50000000
Commercial,11821,19,Suburban,Pile,Pitched,0,0,14700,50000000
Commercial,914,14,Urban,Pile,Flat,0,1,11800,42320515
Residential,5477,2,Urban,Slab,Flat,0,0,12700,31082901
Commercial,281,18,Rural,Pile,Flat,1,1,3100,8625032
Commercial,12443,9,Suburban,Slab,Flat,0,1,8000,50000000
Residential,9252,1,Urban,Pile,Dome,1,1,13900,37230122
Residential,14823,4,Urban,Concrete,Pitched,0,1,5600,50000000
Residential,1015,19,Urban,Concrete,Pitched,0,1,6600,50000000
Commercial,11903,9,Urban,Pile,Dome,1,1,13200,50000000
Commercial,7964,4,Suburban,Pile,Flat,0,1,8500,50000000
Commercial,1897,6,Rural,Concrete,Pitched,0,1,13600,42327388
Commercial,6357,9,Rural,Concrete,Pitched,0,1,8400,50000000
Industrial,10138,10,Rural,Concrete,Flat,1,1,12100,50000000
Industrial,2816,3,Urban,Pile,Pitched,1,1,11000,29299603
Residential,10206,18,Suburban,Concrete,Dome,1,1,3000,50000000
Industrial,2003,11,Suburban,Pile,Pitched,0,0,6100,50000000
Residential,9595,11,Suburban,Pile,Pitched,1,0,14800,50000000
Residential,4137,20,Suburban,Slab,Pitched,0,1,3500,50000000
Commercial,14395,10,Rural,Slab,Pitched,1,1,14100,50000000
Industrial,11241,20,Suburban,Pile,Pitched,0,1,9600,50000000
Commercial,6421,17,Rural,Pile,Dome,1,1,5900,50000000
Commercial,5138,5,Urban,Concrete,Flat,1,1,8200,50000000
Industrial,7074,16,Urban,Pile,Dome,0,1,4800,50000000
Industrial,13414,3,Suburban,Concrete,Dome,0,1,10200,50000000
Residential,3366,12,Suburban,Concrete,Pitched,1,0,3700,50000000
Residential,12226,9,Rural,Slab,Flat,0,0,13500,50000000
Residential,8689,18,Suburban,Pile,Pitched,1,0,7600,50000000
Industrial,6178,6,Rural,Concrete,Flat,0,0,6900,50000000
Industrial,13527,11,Rural,Concrete,Flat,0,1,7100,50000000
Industrial,1623,15,Urban,Concrete,Flat,0,1,4300,50000000
Industrial,14447,20,Rural,Concrete,Pitched,0,1,12300,50000000
Commercial,1274,17,Urban,Slab,Dome,0,1,13700,50000000
Residential,5515,12,Suburban,Concrete,Pitched,0,1,9000,50000000
Residential,2999,7,Urban,Pile,Flat,0,1,9100,50000000
Industrial,4936,10,Urban,Pile,Flat,1,1,6000,50000000
Industrial,2239,4,Suburban,Concrete,Flat,1,0,9200,30377598
Commercial,4194,15,Rural,Pile,Dome,0,0,8200,50000000
Commercial,11461,19,Rural,Slab,Dome,0,0,14700,50000000
Residential,13198,11,Rural,Concrete,Flat,1,1,3400,50000000
Commercial,3347,16,Urban,Slab,Pitched,0,1,9000,50000000
Industrial,8349,8,Urban,Concrete,Pitched,0,1,14500,50000000
Residential,14067,5,Urban,Concrete,Dome,1,1,9800,50000000
Industrial,12991,8,Suburban,Pile,Dome,0,0,13600,50000000
Industrial,11748,6,Suburban,Slab,Flat,1,0,5100,50000000
Industrial,7753,15,Urban,Pile,Flat,1,1,3700,50000000
Residential,10442,14,Rural,Slab,Pitched,0,1,14900,50000000
Commercial,7806,18,Suburban,Pile,Dome,0,0,4500,50000000
Commercial,12140,9,Rural,Concrete,Dome,1,0,14100,50000000
Commercial,3381,4,Rural,Slab,Pitched,1,1,12700,40105009
Industrial,2118,6,Rural,Slab,Flat,0,1,11100,30539493
Industrial,612,11,Urban,Pile,Dome,0,1,5800,15960602
Industrial,4917,13,Rural,Pile,Flat,1,0,6000,50000000
Residential,6126,12,Suburban,Pile,Pitched,0,1,10300,50000000
Commercial,275,2,Rural,Pile,Pitched,1,1,10000,1398329
Commercial,6344,1,Suburban,Slab,Flat,0,1,7900,16173842
Commercial,12730,2,Suburban,Slab,Pitched,0,1,14000,50000000
Industrial,1600,11,Suburban,Concrete,Pitched,1,1,10000,50000000
Commercial,10553,2,Rural,Pile,Dome,1,0,3500,49331588
Residential,10936,11,Rural,Slab,Pitched,0,0,11300,50000000
Residential,8836,16,Urban,Concrete,Flat,0,1,3500,50000000
Commercial,3486,12,Urban,Pile,Dome,1,1,6000,50000000
Industrial,10866,11,Rural,Slab,Pitched,0,0,11800,50000000
Industrial,14428,17,Rural,Concrete,Flat,0,1,13400,50000000
Commercial,14310,5,Urban,Slab,Dome,1,0,5400,50000000
Commercial,259,10,Urban,Pile,Dome,0,0,6900,10040974
Residential,7733,4,Urban,Slab,Flat,0,1,9300,50000000
Residential,682,6,Rural,Concrete,Dome,0,1,9900,9409584
Residential,6490,13,Urban,Slab,Pitched,1,1,5400,50000000
Residential,4406,14,Urban,Slab,Flat,1,1,12200,50000000
Commercial,6384,5,Suburban,Slab,Dome,1,1,9000,50000000
Commercial,12969,10,Urban,Pile,Pitched,0,0,7000,50000000
Commercial,8841,16,Rural,Slab,Flat,0,0,14400,50000000
Residential,2612,1,Urban,Concrete,Dome,0,1,6800,7768697
Industrial,4506,3,Suburban,Slab,Dome,0,1,7300,38458641
Residential,8124,13,Rural,Pile,Pitched,0,1,8300,50000000
Commercial,5079,1,Rural,Slab,Flat,0,0,4800,12019001
Industrial,14125,7,Urban,Concrete,Dome,1,1,14100,50000000
